Date,Week,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Rush,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
9/13/2020,1,CLE,@,BAL,L 6-38,*,21,39,53.85,189,1,1,65,2,21,4.85,4.21,2,3,1.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,73,100%,0,0%,0,0%
9/17/2020,2,CLE,,CIN,W 35-30,*,16,23,69.57,219,2,1,110.6,0,0,9.52,9.3,3,5,1.67,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,58,100%,0,0%,0,0%
9/27/2020,3,CLE,,WAS,W 34-20,*,16,23,69.57,156,2,0,117.3,2,14,6.78,8.52,1,1,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,63,100%,0,0%,0,0%
10/4/2020,4,CLE,@,DAL,W 49-38,*,19,30,63.33,165,2,0,100,2,1,5.5,6.83,3,6,2,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,75,99%,0,0%,0,0%
10/11/2020,5,CLE,,IND,W 32-23,*,21,37,56.76,247,2,2,72.7,1,4,6.68,5.32,2,17,8.5,0,0,0,0,,0,0.00%,,0,1,0,0,1,0,0,73,100%,0,0%,0,0%
10/18/2020,6,CLE,@,PIT,L 7-38,*,10,18,55.56,119,1,2,54.9,4,20,6.61,2.72,1,5,5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,42,74%,0,0%,0,0%
10/25/2020,7,CLE,@,CIN,W 37-34,*,22,28,78.57,297,5,1,135.6,0,0,10.61,12.57,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,52,100%,0,0%,0,0%
11/1/2020,8,CLE,,LVR,L 6-16,*,12,25,48,122,0,0,62.4,0,0,4.88,4.88,6,29,4.83,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,49,100%,0,0%,0,0%
11/15/2020,10,CLE,,HOU,W 10-7,*,12,20,60,132,0,0,79.6,1,7,6.6,6.6,3,1,0.33,0,0,0,0,,0,0.00%,,0,0,0,0,1,0,0,65,100%,0,0%,0,0%
11/22/2020,11,CLE,,PHI,W 22-17,*,12,22,54.55,204,0,0,86.2,3,17,9.27,9.27,6,9,1.5,0,0,0,0,,0,0.00%,,0,2,1,0,0,-6,0,67,100%,0,0%,0,0%
11/29/2020,12,CLE,@,JAX,W 27-25,*,19,29,65.52,258,2,0,116.7,2,6,8.9,10.28,4,1,0.25,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,67,100%,0,0%,0,0%
12/6/2020,13,CLE,@,TEN,W 41-35,*,25,33,75.76,334,4,0,147,0,0,10.12,12.55,4,5,1.25,0,1,1,6,6,0,100.00%,6,0,1,1,0,0,0,0,72,100%,0,0%,0,0%
12/14/2020,14,CLE,,BAL,L 42-47,*,28,47,59.57,343,2,1,87.5,0,0,7.3,7.19,5,23,4.6,1,0,0,0,,0,0.00%,,1,1,0,0,0,-9,0,83,100%,0,0%,0,0%
12/20/2020,15,CLE,@,NYG,W 20-6,*,27,32,84.38,297,2,0,126.2,1,11,9.28,10.53,4,11,2.75,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,64,100%,0,0%,0,0%
12/27/2020,16,CLE,@,NYJ,L 16-23,*,28,53,52.83,285,0,0,68.5,4,31,5.38,5.38,3,6,2,0,0,0,0,,0,0.00%,,0,3,2,0,0,0,0,81,100%,0,0%,0,0%
1/3/2021,17,CLE,,PIT,W 24-22,*,17,27,62.96,196,1,0,97.1,4,30,7.26,8,6,44,7.33,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,62,100%,0,0%,0,0
